Chatflow,Fecha,Pregunta del usuario,Respuesta del bot,clasificacion_nueva,motivo
Torre Alhena,2026-06-03,Pero en Iztapalapa por la central de abastos en México ,"No tengo información de departamentos en renta en Iztapalapa ni cerca de la Central de Abastos en esa zona. Torre Alhena está ubicado en Miguel Hidalgo, cerca de Reforma y Polanco, no en Iztapalapa.

Si buscas opciones e...",descartar,respuesta_parcial_util
Torre Alhena,2026-06-03,Casas en venta pagadas como renta,"No tengo información confirmada sobre casas en venta pagadas como renta en Torre Alhena. El desarrollo ofrece departamentos en venta y cuenta con diferentes planes de pago, pero no se menciona un esquema específico de pa...",descartar,respuesta_parcial_util
Torre Alhena,2026-06-04,Y cuál es el precio de un departamento de 2 recámaras ,"No tengo información específica sobre el precio de los departamentos de 2 recámaras en Torre Alhena. Los metros cuadrados de estos departamentos van desde 81.56 m² hasta 81.75 m², pero el precio exacto puede variar según...",descartar,dato_dinamico_comercial
Torre Alhena,2026-06-04,Q precio ,"No tengo información específica de precios en el documento oficial. La información puede variar según disponibilidad y actualización comercial.

Si quieres una cotización detallada o saber el precio actual de algún depar...",descartar,dato_dinamico_comercial
Reserva Castilla,2026-05-11,Habrá casas mas grandes?,"Sí, actualmente ya hay varias opciones de casas con diferentes tamaños, desde modelos más compactos hasta otros más amplios.

Hoy tienes principalmente tres modelos:

- **Cantabria** – aprox. **80.64 m²** de construcción...",descartar,respuesta_parcial_util
Reserva Castilla,2026-05-11,¿Me pueden dar crédito hipotecario Infonavit?,"No cuento con información confirmada sobre si actualmente Reserva Castilla acepta directamente crédito Infonavit ni bajo qué modalidades.

En general:
- Muchos desarrollos en el Estado de México sí trabajan con Infonavit...",descartar,respuesta_parcial_util
Reserva Castilla,2026-05-13,el aifa bus pasar por aqui ?,"No cuento con información confirmada sobre una ruta de camión directo del AIFA que pase específicamente por Reserva Castilla.

El tema del transporte público y rutas al aeropuerto puede cambiar con frecuencia, así que lo...",mantener_brecha,brecha_accionable
Reserva Castilla,2026-05-15,Hola quisiera saber cuándo van a entregar estas casas?,"La fecha de entrega puede variar según la etapa del proyecto, el modelo de casa y la disponibilidad al momento de tu compra. No cuento con esa información confirmada y la información está sujeta a actualización.

Te reco...",descartar,dato_dinamico_comercial
Reserva Castilla,2026-05-15,Un TV TV TV,"Perfecto, un TV.

En las casas de Reserva Castilla no tengo confirmado que se incluya una televisión como parte del equipamiento; generalmente se entrega la vivienda sin aparatos electrónicos como TV. No cuento con infor...",revisar_manual,no_match_no_info_actual
Reserva Castilla,2026-05-17,toledo,"El modelo Toledo en Reserva Castilla es una casa de aproximadamente 102.61 m² de construcción con la siguiente distribución:

Planta baja:
- Sala  
- Comedor  
- Cocina  
- ½ baño  
- Área de lavado  
- 2 cajones de esta...",descartar,respuesta_parcial_util
Reserva Castilla,2026-05-20,Precios de las casas ,"Puedo darte una referencia general, pero es importante aclarar que:

La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor.

Hoy los modelos de cas...",descartar,dato_dinamico_comercial
Reserva Castilla,2026-05-23,Costo casa cantabria,"El modelo de casa Cantabria se anuncia **desde $2,500,000 MXN* de contado**.

Sin embargo, es muy importante tomar en cuenta que:

- La información puede variar según disponibilidad y actualización comercial.  
- El prec...",descartar,dato_dinamico_comercial
Reserva Castilla,2026-05-24,Actualmente las casas están en construcción?,"No cuento con información confirmada y actualizada sobre el estatus exacto de la construcción en este momento (si ya iniciaron obra en todas las etapas, en algunos clusters o solo en parte del proyecto).

Ese tipo de det...",mantener_brecha,brecha_accionable
Reserva Castilla,2026-05-24,Desde cuándo inició este proyecto con el público general?,"No cuento con información confirmada sobre la fecha exacta en que Reserva Castilla inició su comercialización con el público general.

Esa información puede variar y está sujeta a actualización por parte del área comerci...",descartar,dato_dinamico_comercial
Prologis - Lerma,2026-05-25,que proyectos tienes disponibles en monterrey,"No tengo información confirmada sobre proyectos disponibles de Prologis en Monterrey en este momento. Toda la información que manejo corresponde al desarrollo Prologis Lerma, ubicado en el Estado de México.

Si te intere...",descartar,respuesta_parcial_util
Prologis - Lerma,2026-05-25,Hola estoy buscando un terreno,"Actualmente en Prologis Lerma no hay terrenos residenciales disponibles, ya que el desarrollo está enfocado en espacios industriales de clase A, ideales para empresas de logística y manufactura. Sin embargo, si buscas un...",descartar,respuesta_parcial_util
Prologis - Lerma,2026-05-29,show avalability for this building,"Here’s the current availability for Prologis Lerma buildings:

- Building 01: Not available.
- Building 02: No availability info listed.
- Building 03: Available for Q2 2025 (291,210 SF / 27,054 m²).
- Building 04: No av...",descartar,respuesta_parcial_util
Mozaiko Lindavista,2026-05-14,Cuentan con un departamento planta baja de 3 recamaras ,"Actualmente, el inventario de departamentos de 3 recámaras en Mozaiko Lindavista está agotado. No tengo información sobre disponibilidad de departamentos de 3 recámaras en planta baja. Si te interesa recibir información ...",descartar,respuesta_parcial_util
Mozaiko Lindavista,2026-05-23,Aceptan créditos? O es con recursos propios ,"No tengo información específica en el documento sobre si Mozaiko Lindavista acepta créditos hipotecarios o solo recursos propios. Para esa información puntual, te conecto con el equipo de ventas, quienes pueden aclarar t...",descartar,dato_dinamico_comercial
Mozaiko Lindavista,2026-05-23,Cuáles son las opciones para adquisición?,"Las opciones para adquirir un departamento en Mozaiko Lindavista son:

- Compra de departamentos de 2 recámaras, tanto en entrega inmediata como en preventa.
- Los departamentos de 3 recámaras están agotados.
- Puedes el...",descartar,respuesta_parcial_util
Mozaiko Lindavista,2026-05-23,Cuando inician torre f,"No tengo información confirmada sobre la fecha exacta de inicio de obra de la Torre F. Solo está disponible la fecha de entrega (diciembre 2027). Si necesitas el dato puntual del inicio de obra, te sugiero consultarlo di...",mantener_brecha,brecha_accionable
Lst Providencia Coahuila,2026-05-12,Cuáles son los precios por terreno?,"En el documento oficial de Viñedo Providencia no se especifican los precios por terreno. Para obtener información detallada sobre los precios de los lotes, te recomiendo contactar directamente al equipo de ventas al telé...",descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-05-20,Cuál es .por medtro cuadrado?,No tengo información confirmada sobre el precio por metro cuadrado de los terrenos. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor al +52 41...,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-05-20,Hay reglamento de lo que se puede construir en cada terreno?,"No tengo información específica sobre un reglamento detallado de construcción para los terrenos en Viñedo Providencia. Sin embargo, el proyecto promueve diseños arquitectónicos que se integren con la naturaleza y manteng...",descartar,respuesta_parcial_util
Lst Providencia Coahuila,2026-05-22,Precio ,No tengo información específica sobre los precios de los lotes en Viñedo Providencia. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor del pro...,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-05-23,Cuánto valen los terrenos?,"No tengo información específica sobre los precios de los terrenos. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor del proyecto. Si quieres, ...",descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-05-24,Precio por m cuadrado,No tengo información específica sobre el precio por metro cuadrado. Te recomiendo contactar directamente al equipo comercial para obtener ese dato actualizado. Puedes comunicarte al +52 415 688 2210.,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-05-26,Precio por metro cuadrado ??,"No tengo información confirmada sobre el precio por metro cuadrado. Te recomiendo consultarlo directamente con el área comercial para obtener el dato actualizado, ya que puede variar según disponibilidad y etapa del proy...",descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-05-26,Precios y disponibilidad ,"Por el momento, no tengo información específica sobre precios ni disponibilidad exacta de los lotes en Viñedo Providencia. Estos datos pueden variar según la etapa del proyecto y la actualización comercial.

Te recomiend...",descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-06-01,Qué precio tienen los terrenos y de qué dimensiones son,No tengo información específica sobre los precios ni las dimensiones exactas de los terrenos en Viñedo Providencia. Estos datos pueden variar según disponibilidad y actualización comercial. Te recomiendo contactar direct...,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-06-04,Me puedes pasar más información como precios y forma de pago ,No tengo información específica sobre precios ni formas de pago en este momento. Estos datos suelen variar según la disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor del proyect...,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-06-06,Tamaño de terrenos y precio ,No tengo información específica sobre el tamaño exacto de los terrenos ni los precios en este momento. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con ...,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-06-06,Precio por metro cuadrado,No cuento con información confirmada sobre el precio por metro cuadrado. Estos datos pueden variar según la etapa y disponibilidad del proyecto. Te sugiero consultarlo directamente con un asesor comercial para obtener la...,descartar,dato_dinamico_comercial
Lst Providencia Coahuila,2026-06-09,Costo del metro cuadrado?,"No tengo información confirmada sobre el costo por metro cuadrado. Te recomiendo validar este dato directamente con el área comercial, ya que puede variar según disponibilidad y actualización comercial. Si lo deseas, pue...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-14,Precio de la casa Castilla de 3 recámaras ,"No cuento con esa información confirmada en los documentos del proyecto.

Además, el precio es información dinámica y puede variar según la etapa comercial y la disponibilidad.  
Te recomiendo validarlo directamente con ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-14,"Buena tarde, que precio tiene","Buena tarde.  

No cuento con información de precios en el documento del proyecto.  
La información puede variar según disponibilidad y actualización comercial, así que te recomiendo validarlo directamente con un asesor ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-14,precios,"No cuento con información de precios en los documentos que tengo.  

La información puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con el área comercial del proyecto para ob...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-14,costo promedio,"No cuento con información de costo promedio ni rangos de precios en los documentos del proyecto.  

La información puede variar según la etapa y la disponibilidad, así que la mejor opción es validarlo directamente con el...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-15,Cuál es el precio ,"No cuento con esa información confirmada en los documentos del proyecto.  

Los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad, así que la información está sujeta a actualización.  
...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-15,En Puebla ,"Sí, Vinte también tiene comunidades en Puebla, pero Punta Cuerna Residencial está ubicado en Cuernavaca, Morelos, en:

Calle Barrancas No. 2, Fracc. Punta Cuerna, Delegación Lázaro Cárdenas del Río, CP 62076, Cuernavaca,...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-15,"Hola, donde estarán ubicadas exactamente las casas?","Las casas forman parte del fraccionamiento Punta Cuerna Residencial, ubicado en:

Calle Barrancas No. 2,  
Fraccionamiento Punta Cuerna,  
Delegación Lázaro Cárdenas del Río, C.P. 62076,  
Cuernavaca, Morelos.

Es un des...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-15,Cuales son los precios,"No cuento con información de precios en los documentos del proyecto.  

La información de precios, promociones y disponibilidad es dinámica y puede cambiar según la etapa comercial, así que es muy importante validarla di...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-15,Métodos de pago,"No cuento con información sobre métodos de pago en los documentos que tengo del proyecto.  

La información sobre formas de pago, enganches, mensualidades o financiamiento es dinámica y puede variar según la etapa comerc...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-15,Costos ,"No cuento con información de costos en los documentos del proyecto.  

La información de precios, promociones y disponibilidad se actualiza constantemente, así que es algo que solo el equipo comercial puede confirmarte. ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-15,costos,"No cuento con información de costos en los documentos del proyecto.  

La información de precios y costos es dinámica y puede cambiar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con e...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-16,precio,"No cuento con información de precios en los documentos del proyecto.  

La información de costos y disponibilidad puede variar según la etapa comercial, así que te recomiendo validarlo directamente con un asesor del proy...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-16,Precios,"No cuento con información de precios en los documentos que tengo disponibles.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que puede variar según la etapa del proyecto. Te re...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-16,cual es el costo de las casas?,"No cuento con información de costos en los documentos del proyecto.  

Además, los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad.  
Te recomiendo validarlo directamente con un aseso...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-16,donde hay modulos de informacion?,"En los documentos del proyecto no aparece información específica sobre módulos físicos de información (ubicaciones de casetas, stands en plazas comerciales, etc.).  

No cuento con esa información confirmada. Te recomien...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-16,cuantos metros cuadrados tiene cada tipologia?,"En los documentos del proyecto solo aparecen las distribuciones de cada prototipo (cómo se componen las casas y departamentos), pero no se especifican los metros cuadrados de cada tipología.  

No cuento con esa informac...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-16,cuantas viviendas va a haber en el desarollo?,"En los documentos que tengo de Punta Cuerna Residencial no aparece el número total de viviendas que habrá en el desarrollo.  

No cuento con esa información confirmada y, además, es un dato que puede ajustarse según etap...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-16,Cuál es el costo de los departamentos 6 casas,"No cuento con información de costos en los documentos que tengo disponibles.  

La información de precios y disponibilidad es dinámica y puede cambiar según la etapa del proyecto, por lo que te recomiendo validarla direc...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-16,Las casas ya están ter,"Las casas están en proyecto dentro de un fraccionamiento que incluye varias privadas con amenidades (alberca, asador, áreas comunes, etc.), pero no tengo en el documento el estatus exacto de obra (si ya están todas termi...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-16,Precio,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que puede variar según la etapa comercial. Te recomiendo val...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-16,Costos de casa,"No cuento con información de costos o rangos de precios en los documentos del proyecto. La información de precios puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un aseso...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-16,Ok,"Perfecto.  

Sobre los costos de las casas, en los documentos que tengo de Punta Cuerna no vienen precios ni rangos de inversión por prototipo. La información de costos es dinámica y puede cambiar según la etapa del proy...",descartar,cierre_social_no_brecha
Punta Cuerna,2026-05-16,Cuanto es el costo ,"No cuento con información de costos en los documentos del proyecto.  

La inversión puede variar según el tipo de vivienda, etapa y disponibilidad, y es información que se actualiza constantemente. Te recomiendo validarl...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-17,Precios,"No cuento con información de precios en los documentos que tengo disponibles.  

La información comercial (precios, descuentos, promociones y disponibilidad) puede variar según la etapa del proyecto y la actualización de...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-17,Me gustaría conocer costos ,"No cuento con información de costos en los documentos del proyecto.  

La información de precios puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comercial de Pu...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-17,aceptan credito infonavit,"No cuento con información confirmada sobre si aceptan crédito Infonavit en Punta Cuerna.  

La información sobre tipos de crédito y financiamiento puede variar según la etapa del proyecto y las políticas comerciales vige...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-17,Me puedes compartir precios?,"No cuento con información de precios en los documentos que tengo.  

La información de costos, promociones y disponibilidad se actualiza constantemente, así que puede variar según la etapa del proyecto. Te recomiendo val...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-17,Que precio tienen las casas y que tipo de creditos aceptan?,"No cuento con información de precios ni de tipos de crédito aceptados en los documentos que tengo del proyecto.

La información de precios, disponibilidad y formas de pago puede variar según la etapa comercial, y está su...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-18,"hola buenos dias, me puedes dar precios de los difedrentes departamentos y casas","Claro, buenos días.  

En los documentos que tengo de Punta Cuerna aparecen los prototipos (tipos de vivienda) y su distribución, pero **no vienen rangos de precios ni listas por modelo**.  

No cuento con esa informació...",descartar,respuesta_parcial_util
Punta Cuerna,2026-05-18,costo de la casa cordoba,"No cuento con información de precios específicos de la Casa Córdoba en los documentos que tengo disponibles.  

Además, los costos pueden cambiar según disponibilidad y actualización comercial. Te recomiendo validarlo di...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-18,si,"Perfecto, te comparto los datos de contacto que vienen en la información oficial del proyecto:

Punta Cuerna Residencial  
Ubicación: Calle Barrancas No. 2, Fraccionamiento Punta Cuerna, Delegación Lázaro Cárdenas del Rí...",descartar,captura_contacto_no_brecha
Punta Cuerna,2026-05-18,Me gustaria conocer los precios,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad puede variar según la etapa comercial, así que es muy importante validarlo directamente con u...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-18,Cómo llego de chipitlan,"Chipitlán está relativamente cerca, pero en los documentos no vienen las rutas exactas desde cada colonia.

No cuento con esa información confirmada de cómo llegar específicamente desde Chipitlán. Te recomiendo poner en ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-05-18,precio de la casa castilla,"No cuento con información de precio específica para la Casa Castilla en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomien...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-18,Costos,"Sobre costos no tengo información específica en los documentos del proyecto.  

La inversión puede variar según el tipo de vivienda, ubicación dentro del fraccionamiento y etapa comercial, y es información dinámica.  
Te...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-05-19,Cuánto vale el modelo casa castilla,"No cuento con información de precios del modelo Casa Castilla en los documentos que tengo disponibles.  

La información de costos puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo valid...",descartar,dato_dinamico_comercial
